year,round,alt,driverId,driverRef,driver_points,driver_standings_pos,driver_wins,grid,Podium,circuitRef,constructorRef,seconds
2001,7,7,21,fisichella,1,16,0,10,0,monaco,benetton,0
2001,7,7,54,burti,0,18,0,21,0,monaco,prost,0
2001,7,7,49,frentzen,6,9,0,13,0,monaco,jordan,0
2001,7,7,31,montoya,6,8,0,7,0,monaco,williams,0
2001,7,7,56,irvine,4,11,0,6,3,monaco,jaguar,6473.259
2001,7,7,57,hakkinen,4,13,0,3,0,monaco,mclaren,0
2001,8,13,2,heidfeld,8,5,0,11,0,villeneuve,sauber,0
2001,8,13,23,ralf_schumacher,22,4,2,2,1,villeneuve,williams,5671.522
2001,8,13,15,trulli,7,9,0,4,11,villeneuve,jordan,0
2001,8,13,8,raikkonen,7,8,0,7,4,villeneuve,sauber,5739.638
2001,8,13,18,button,0,18,0,20,0,villeneuve,benetton,0
2001,8,13,55,alesi,3,14,0,16,5,villeneuve,prost,5741.957
2001,8,13,22,barrichello,24,3,0,5,0,villeneuve,ferrari,0
2001,8,13,58,marques,0,21,0,21,9,villeneuve,minardi,0
2001,8,13,30,michael_schumacher,58,1,4,1,2,villeneuve,ferrari,5691.757
2001,8,13,4,alonso,0,23,0,22,0,villeneuve,minardi,0
2001,8,13,50,verstappen,1,15,0,13,10,villeneuve,arrows,0
2001,8,13,14,coulthard,40,2,2,3,0,villeneuve,mclaren,0
2001,8,13,35,villeneuve,7,7,0,9,0,villeneuve,bar,0
2001,8,13,59,bernoldi,0,22,0,17,0,villeneuve,arrows,0
2001,8,13,44,panis,5,12,0,6,0,villeneuve,bar,0
2001,8,13,41,zonta,0,19,0,12,7,villeneuve,jordan,0
2001,8,13,21,fisichella,1,16,0,18,0,villeneuve,benetton,0
2001,8,13,54,burti,0,20,0,19,8,villeneuve,prost,0
2001,8,13,31,montoya,6,10,0,10,0,villeneuve,williams,0
2001,8,13,56,irvine,4,13,0,15,0,villeneuve,jaguar,0
2001,8,13,57,hakkinen,8,6,0,8,3,villeneuve,mclaren,5712.194
2001,8,13,37,rosa,1,17,0,14,6,villeneuve,jaguar,0
2001,9,578,2,heidfeld,8,7,0,10,0,nurburgring,sauber,0
2001,9,578,23,ralf_schumacher,25,4,2,2,4,nurburgring,williams,5416.069
2001,9,578,15,trulli,7,10,0,7,0,nurburgring,jordan,0
2001,9,578,8,raikkonen,7,9,0,9,10,nurburgring,sauber,0
2001,9,578,18,button,0,18,0,20,13,nurburgring,benetton,0
2001,9,578,55,alesi,3,14,0,14,15,nurburgring,prost,0
2001,9,578,22,barrichello,26,3,0,4,5,nurburgring,ferrari,5428.219
2001,9,578,58,marques,0,21,0,22,0,nurburgring,minardi,0
2001,9,578,30,michael_schumacher,68,1,5,1,1,nurburgring,ferrari,5382.724
2001,9,578,4,alonso,0,23,0,21,14,nurburgring,minardi,0
2001,9,578,50,verstappen,1,15,0,19,0,nurburgring,arrows,0
2001,9,578,14,coulthard,44,2,2,5,3,nurburgring,mclaren,5407.717
2001,9,578,35,villeneuve,7,8,0,11,9,nurburgring,bar,0
2001,9,578,59,bernoldi,0,22,0,18,0,nurburgring,arrows,0
2001,9,578,44,panis,5,12,0,13,0,nurburgring,bar,0
2001,9,578,21,fisichella,1,17,0,15,11,nurburgring,benetton,0
2001,9,578,54,burti,0,20,0,17,12,nurburgring,prost,0
2001,9,578,49,frentzen,6,11,0,8,0,nurburgring,jordan,0
2001,9,578,31,montoya,12,5,0,3,2,nurburgring,williams,5386.851
2001,9,578,56,irvine,4,13,0,12,7,nurburgring,jaguar,5448.922
2001,9,578,57,hakkinen,9,6,0,6,6,nurburgring,mclaren,5447.592
2001,9,578,37,rosa,1,16,0,16,8,nurburgring,jaguar,0
2001,10,228,2,heidfeld,9,6,0,9,6,magny_cours,sauber,0
2001,10,228,23,ralf_schumacher,31,3,2,1,2,magny_cours,williams,5626.035
2001,10,228,15,trulli,9,8,0,5,5,magny_cours,jordan,5683.921
2001,10,228,8,raikkonen,7,10,0,13,7,magny_cours,sauber,0
2001,10,228,18,button,0,18,0,17,16,magny_cours,benetton,0
2001,10,228,55,alesi,3,14,0,19,12,magny_cours,prost,0
2001,10,228,22,barrichello,30,4,0,8,3,magny_cours,ferrari,5632.017
2001,10,228,58,marques,0,21,0,22,15,magny_cours,minardi,0
2001,10,228,30,michael_schumacher,78,1,6,2,1,magny_cours,ferrari,5615.636
2001,10,228,4,alonso,0,23,0,21,17,magny_cours,minardi,0
2001,10,228,50,verstappen,1,15,0,18,13,magny_cours,arrows,0
2001,10,228,14,coulthard,47,2,2,3,4,magny_cours,mclaren,5632.742
2001,10,228,35,villeneuve,7,9,0,10,0,magny_cours,bar,0
2001,10,228,59,bernoldi,0,22,0,20,0,magny_cours,arrows,0
2001,10,228,44,panis,5,12,0,11,9,magny_cours,bar,0
2001,10,228,21,fisichella,1,17,0,16,11,magny_cours,benetton,0
2001,10,228,54,burti,0,20,0,15,10,magny_cours,prost,0
2001,10,228,49,frentzen,6,11,0,7,8,magny_cours,jordan,0
2001,10,228,31,montoya,12,5,0,6,0,magny_cours,williams,0
2001,10,228,56,irvine,4,13,0,12,0,magny_cours,jaguar,0
2001,10,228,57,hakkinen,9,7,0,4,0,magny_cours,mclaren,0
2001,10,228,37,rosa,1,16,0,14,14,magny_cours,jaguar,0
2001,11,153,2,heidfeld,10,7,0,9,6,silverstone,sauber,0
2001,11,153,23,ralf_schumacher,31,4,2,10,0,silverstone,williams,0
2001,11,153,15,trulli,9,9,0,4,0,silverstone,jordan,0
2001,11,153,8,raikkonen,9,8,0,7,5,silverstone,sauber,0
2001,11,153,18,button,0,18,0,18,15,silverstone,benetton,0
